metric,Year 1,Year 2,Year 3,Year 4,Year 5,Terminal/PV
Revenue,1336440.0,6682200.0,20046600.0,66822000.0,133644000.0,
EBITDA,-47653.2,2971734.0,10595202.0,32217340.0,53234680.0,
Cash taxes,0.0,624064.14,2224992.42,6765641.4,11179282.8,
Capex,66822.0,334110.0,1002330.0,3341100.0,6682200.0,
Change in working capital,26728.8,106915.2,267288.0,935508.0,1336440.0,
Free cash flow,-141204.0,1906644.66,7100591.58,21175090.6,34036757.2,
PV free cash flow,-119664.41,1369322.51,4321639.25,10921876.16,14877780.26,PV terminal value: 102160757.81
Discount rate,0.18,,,,,Enterprise value: 133531711.58
Terminal growth,0.03,,,,,Terminal value: 233719066.11
